Description,List_Price,Model,Milleage,Gear_Type,Location,Price,Mileage,Year,State,Brand,Origin,Engine_L
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified G S C,"RM 295,000",Toyota Alphard,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",295000.0,17500.0,2021.0,Kuala Lumpur,Toyota,Asian,2.5
2019 Toyota Vellfire 2.5 Z G Edition MPV,"RM 233,000",Toyota Vellfire,45 - 50K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",233000.0,47500.0,2019.0,Kuala Lumpur,Toyota,Asian,2.5
"2021 Toyota Alphard 2.5 G S C Package MPV - (A) JBL SOUND SYSTEM, MODELLISTA BODY KIT","RM 298,000",Toyota Alphard,10 - 15K KM,Automatic,"Penang, Juru",298000.0,12500.0,2021.0,Penang,Toyota,Asian,2.5
2013 BMW 528i 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT,"RM 58,000",BMW 528i,90 - 95K KM,Automatic,"Penang, Georgetown",58000.0,92500.0,2013.0,Penang,BMW,Continental,2.0
2014 BMW X1 2.0 sDrive20i SUV - Service Record Low Mileage REAR WHEEL DRIVE PUSH START PROFESSIONAL AUDIO MAX LOAN,"RM 49,800",BMW X1,118777 KM,Automatic,"Selangor, Kajang",49800.0,118777.0,2014.0,Selangor,BMW,Continental,2.0
2008/2013 Mercedes-Benz C200K 1.8 AMG Sedan - MERCEDES BENZ SPORT SUNROOF ORI JAPAN SPEC - REG YEAR 2013 RARE UNIT ORI JPN SPEC CASH BUY CARLIST QUALIFIED INSPECTED CAR,"RM 42,800",Mercedes-Benz C200K,125 - 130K KM,Automatic,"Selangor, Kajang",42800.0,127500.0,2008.0,Selangor,Mercedes-Benz,Continental,1.8
"2016 Mercedes-Benz C200 2.0 AMG Sedan - MERCEDES BENZ WTY 2025,CRYSTAL WHITE IN COLOUR,FULL LEATHER SEAT,SMOOTH ENGINE GEAR BOX,ONE OF DATO OWNER","RM 125,800",Mercedes-Benz C200,70 - 75K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang",125800.0,72500.0,2016.0,Kuala Lumpur,Mercedes-Benz,Continental,2.0
"2019 Porsche Macan 3.0 S SUV - 3.6 TRUBO NEW FACELIFT 2025 ,CRYSTAL WHITE IN COLOUR,FULL LEATHER SEAT RED IN COLOUR,SPORT CHRONO,ONE OF VIP DATO OWNER","RM 248,500",Porsche Macan,70 - 75K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang",248500.0,72500.0,2019.0,Kuala Lumpur,Porsche,Continental,3.0
"2019 Mercedes-Benz S450L 3.0 AMG Line Sedan - MERCEDES BENZ S450 L NO HYBRID AMG WTY 2025 ,CRYSTAL BLACK IN COLOUR,SELDOM USE,POWER BOOT,ONE OF DATO OWNER","RM 318,500",Mercedes-Benz S450L,110 - 115K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang",318500.0,112500.0,2019.0,Kuala Lumpur,Mercedes-Benz,Continental,3.0
"2020 Ford MUSTANG 5.0 GT Coupe - WTY 2025 2021,CRYSTAL RED IN COLOUR,REVERSE CAMERA, STEERING, SPORT RIM,RECARO SEATS,ONEOF DATIN OWNER","RM 278,800",Ford MUSTANG,10 - 15K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang",278800.0,12500.0,2020.0,Kuala Lumpur,Ford,Continental,5.0
