Description,List_Price,Model,Mileage,Gear_Type,Location,Price,Year,State,Brand,Origin,Engine_L,Car_Age,Log_Price,Annual_Mileage,Has_Warranty
2022 Perodua Ativa 1.0 AV SUV,"RM 57,400",Perodua Ativa,62454.0,Automatic,"Kuala Lumpur, Jinjang Kepong",57400.0,2022.0,Kuala Lumpur,Perodua,Asian,1.0,3.0,10.957817003758691,20818.0,0
2020 Perodua Myvi 1.5 H Hatchback,"RM 41,900",Perodua Myvi,63527.0,Automatic,"Kuala Lumpur, Jinjang Kepong",41900.0,2020.0,Kuala Lumpur,Perodua,Asian,1.5,5.0,10.643064971973882,12705.4,0
2016/2018 Land Rover Range Rover Evoque 2.0 Si4 SE SUV - Si4 Dynamic 9Speed Petrol PanaRoof RedInterior AndroidPlayer 360Cam P Boot Meridian Digital Panel 86kKM,"RM 78,900",Land Rover Range Rover Evoque,87500.0,Automatic,"Kuala Lumpur, Desa Petaling",78900.0,2016.0,Kuala Lumpur,Land Rover,Continental,2.0,9.0,11.275949181024878,9722.222222222223,0
2018 Mercedes-Benz E350e 2.0 AMG Line Sedan - AMG Full Bodykit Facelift EQ-Power Local Spec S Roof P Boot 360Camera Nappa Leather Seat Ori LowMile 66kKM Free WTY,"RM 88,900",Mercedes-Benz E350e,67500.0,Automatic,"Kuala Lumpur, Desa Petaling",88900.0,2018.0,Kuala Lumpur,Mercedes-Benz,Continental,2.0,7.0,11.395278670032656,9642.857142857143,0
2020 Toyota Vios 1.5 G Sedan - (A) 5-Years Warranty,"RM 54,800",Toyota Vios,107500.0,Automatic,"Perak, Sitiawan",54800.0,2020.0,Perak,Toyota,Asian,1.5,5.0,10.911463720944793,21500.0,1
2021 BMW 530e 2.0 M Sport Sedan - M-Sport G30 Local Facelift Competition M-Performance Bodykit DigitalMeter P Boot 19Inch SportRim F ServRec 41k Miles 1ManagerOwner,"RM 110,900",BMW 530e,42500.0,Automatic,"Kuala Lumpur, Desa Petaling",110900.0,2021.0,Kuala Lumpur,BMW,Continental,2.0,4.0,11.616393190430356,10625.0,0
2021 Proton Exora 1.6 Premium MPV,"RM 40,900",Proton Exora,63693.0,Automatic,"Kuala Lumpur, Jinjang Kepong",40900.0,2021.0,Kuala Lumpur,Proton,Asian,1.6,4.0,10.61890979160975,15923.25,0
2017 Audi TT 2.0 S Quattro TFSI Coupe - S MK3 QUARO S-LINE AWD AutoSpoiler Facelift LED Matrix Akrapovic Exhaust Bilstein B O RS S Rim G-Force Meter CF Interior 62kKM,"RM 152,900",Audi TT,62500.0,Automatic,"Kuala Lumpur, Desa Petaling",152900.0,2017.0,Kuala Lumpur,Audi,Continental,2.0,8.0,11.937545932118134,7812.5,0
2017 Porsche Panamera 2.9 4 E-Hybrid Sport Turismo Wagon,"RM 275,000",Porsche Panamera,102500.0,Automatic,"Selangor, KLIA",275000.0,2017.0,Selangor,Porsche,Continental,2.9,8.0,12.524530013005734,12812.5,0
2015 Perodua AXIA 1.0 G Hatchback,"-10% RM 17,800",Perodua AXIA,152183.0,Automatic,"Kelantan, Kota Bharu",17800.0,2015.0,Kelantan,Perodua,Asian,1.0,10.0,9.787009914477434,15218.3,0
